date,texpms,ccdsel
2023-08-31 05:26:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-08-31 09:35:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-08-31 17:28:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-08-31 21:22:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-01 05:32:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-01 09:41:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-01 17:34:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-01 21:28:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-02 01:02:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-02 09:47:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-02 14:14:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-02 21:34:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-03 01:08:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-03 09:53:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-03 14:21:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-03 21:40:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-04 01:14:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-04 14:27:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-04 16:16:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-04 21:46:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-05 01:21:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-05 04:20:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-05 14:33:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-05 16:22:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-05 21:52:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-06 01:27:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-06 04:26:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-06 14:39:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-06 16:29:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-06 21:59:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
