date,texpms,ccdsel
2023-09-20 01:15:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-20 04:15:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-20 14:27:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-20 16:17:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-20 21:47:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-21 01:21:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-21 04:20:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-21 14:33:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-21 16:23:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-21 21:53:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-22 01:27:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-22 04:26:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-22 14:39:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-22 16:29:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-22 21:59:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-23 01:33:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-23 04:32:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-23 08:41:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-23 14:45:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-23 16:35:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-23 22:04:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-24 01:39:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-24 04:38:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-24 08:47:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-24 14:51:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-24 16:41:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-24 22:10:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-25 01:45:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-25 04:44:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-25 08:53:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-25 14:57:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-25 16:47:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-25 22:16:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-26 01:51:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-26 04:50:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-26 08:59:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-26 15:03:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-26 16:53:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-26 22:22:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-27 01:57:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-27 04:56:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-27 09:05:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-27 15:09:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-27 16:59:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-27 22:28:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-28 02:02:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-28 05:02:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-28 09:11:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-28 15:15:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-28 17:05:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-29 02:08:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-29 05:08:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-29 09:17:00,"[3000, 3000]","[1, 2, 4, 8, 16, 32]"
2023-09-29 15:21:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
2023-09-29 17:10:00,"[15000, 15000]","[1, 2, 4, 8, 16, 32]"
